Observations	feature1	feature2
1	excluded	black
2	included	white
3	included	white
4	excluded	black
5	included	white
6	excluded	black
7	excluded	black
8	included	white
9	included	white
10	included	white
11	excluded	black
12	included	black
13	included	white
14	included	white
15	included	black
16	included	black
17	included	white
18	excluded	black
19	excluded	white
20	included	white
21	excluded	white
22	included	black
23	included	black
24	excluded	black
25	excluded	white
26	included	black
27	excluded	white
28	included	black
29	excluded	white
30	excluded	black
31	excluded	white
32	excluded	white
33	excluded	white
34	included	white
35	included	black
36	excluded	white
37	included	black
38	included	black
39	excluded	white
40	excluded	white
41	excluded	black
42	included	white
43	included	white
44	included	white
45	excluded	white
46	included	white
47	excluded	white
48	excluded	black
49	included	black
50	included	white
51	included	black
52	included	black
53	included	black
54	excluded	white
55	included	white
56	included	white
57	excluded	black
58	included	black
59	included	white
60	excluded	black
61	included	black
62	excluded	white
63	excluded	black
64	excluded	white
65	included	white
66	excluded	white
67	included	black
68	excluded	white
69	excluded	white
70	excluded	white
71	included	white
72	excluded	white
73	included	black
74	included	black
75	included	white
76	included	black
77	included	black
78	included	black
79	included	black
80	excluded	white
