Observations	y1	y2	y3
1	73	28	0
2	458	5	8
3	0	21855	7280
4	98	387	2751
5	51	86	92
6	5	293	286
7	3	1281	72
8	0	1804	391
9	9	711	122
10	65	13	13
11	1851	1	7
12	232	0	255
13	40	80	252
14	9	20	19
15	140	8	4
16	27	48	72
17	107	44	16
18	883	0	2
19	9	200	15
20	24	120	199
21	3	94	67
22	14	428	32
23	114	1	3
24	396	34	93
25	18	53	9
26	42	8	70
27	5	288	297
28	10	467	323
29	3	594	140
30	88	8	6
31	3	158	117
32	1143	11	55
33	874	1	19
34	11	27	13
35	78	10	42
36	5	311	103
37	7714	0	2
38	11	53	5
39	9	584	322
40	16	3	4
41	36	1407	237
42	40	5	23
43	104	51	97
44	25	5	12
45	1	148	56
46	85	13	158
47	68	22	42
48	470	0	27
49	412	1	5
50	147	1	150
51	107	27	24
52	2	99	22
53	3	200	16
54	92	10	11
55	0	52493	357
56	1479	2	9
57	38	18	3
58	23	3	42
59	42	45	35
60	21	45	113
61	17	12	5
62	1	617	161
63	2	913	86
64	57	29	27
65	32	30	43
66	3	1442	66
67	9	93	38
68	1	404	64
69	11	154	47
70	18	32	28
71	5	164	14
72	225	2	9
73	13	165	273
74	18	44	313
75	2074	1	4
76	32	25	45
77	19	98	59
78	123	0	14
79	34	15	29
80	1	128	237
